order_count,total_payment,avg_review_score,avg_delivery_days,days_since_last_purchase
1,39.78,5.0,3.0,442
1,18.06,5.0,5.0,83
1,740.03,4.0,23.0,273
1,118.57,4.0,6.0,130
1,313.2,5.0,6.0,276
1,28.2,5.0,2.0,56
1,141.35,5.0,1.0,422
2,186.4,2.0,17.0,418
1,80.6,5.0,15.0,520
1,58.71,4.0,3.0,441
1,175.82,5.0,12.0,390
1,779.68,5.0,10.0,330
1,49.23,5.0,14.0,161
1,99.43,4.0,19.0,217
1,40.86,1.0,10.0,617
1,98.56,1.0,35.0,323
1,62.44,4.0,10.0,326
1,177.42,5.0,7.0,230
1,139.72,3.0,10.0,386
1,166.16,5.0,19.0,405
1,41.72,5.0,5.0,279
1,344.7,5.0,25.0,167
1,176.34,4.0,5.0,71
1,49.06,5.0,10.0,82
1,149.72,5.0,7.0,191
1,310.28,5.0,38.0,526
2,944.85,4.0,6.0,190
1,37.03,5.0,5.0,117
2,62.02,5.0,25.0,564
1,61.73,4.0,12.0,231
1,40.95,5.0,10.0,743
3,127.65,4.0,10.0,138
1,163.29,1.0,24.0,222
1,87.16,5.0,5.0,307
1,46.37,3.0,21.0,208
1,144.64,5.0,11.0,314
1,162.25,5.0,9.0,326
1,192.09,2.0,36.0,202
1,44.19,5.0,4.0,222
1,92.9,5.0,6.0,155
2,331.99,5.0,10.0,258
1,333.44,1.0,31.0,159
1,138.25,3.0,11.0,146
1,147.15,5.0,30.0,280
1,212.02,4.0,9.0,475
1,134.47,1.0,26.0,426
1,73.34,5.0,4.0,502
1,312.49,5.0,20.0,322
1,60.33,5.0,3.0,557
1,89.36,5.0,22.0,218
1,89.63,5.0,3.0,59
1,87.79,5.0,1.0,54
1,953.82,5.0,6.0,372
1,568.98,1.0,5.0,129
1,79.81,5.0,10.0,273
1,255.42,5.0,5.0,515
1,188.5,5.0,1.0,286
1,622.98,4.0,20.0,152
1,183.89,4.0,11.0,404
1,275.28,5.0,9.0,210
1,133.76,5.0,4.0,175
1,64.89,5.0,8.0,490
1,223.0,5.0,10.0,360
1,118.35,5.0,3.0,126
1,135.08,5.0,60.0,304
1,299.84,5.0,10.0,337
1,92.28,5.0,12.0,438
1,126.48,5.0,17.0,255
1,47.05,4.0,11.0,580
1,212.73,4.0,7.0,292
1,124.07,5.0,8.0,184
1,159.4,5.0,6.0,523
1,491.36,3.0,20.0,630
1,216.0,5.0,10.0,509
1,261.18,5.0,5.0,333
1,91.28,4.0,5.0,70
1,87.32,1.0,7.0,180
1,142.96,5.0,7.0,438
1,55.6,5.0,9.0,239
1,65.11,1.0,36.0,229
1,79.58,5.0,34.0,258
1,143.83,5.0,8.0,262
1,27.84,3.0,25.0,326
1,75.25,1.0,47.0,210
1,36.72,5.0,2.0,458
1,378.39,4.0,22.0,210
1,68.27,4.0,8.0,194
1,32.38,1.0,8.0,321
1,68.49,4.0,6.0,456
1,42.77,4.0,8.0,69
1,242.23,5.0,12.0,167
1,309.28,5.0,16.0,280
1,211.88,5.0,3.0,179
1,64.53,4.0,27.0,324
1,108.81,4.0,7.0,85
1,78.2,5.0,7.0,167
1,26.77,5.0,3.0,430
1,72.18,5.0,12.0,62
1,173.8,5.0,21.0,203
1,23.72,1.0,3.0,233
1,152.25,5.0,33.0,319
1,79.44,3.0,9.0,72
1,88.9,4.0,9.0,219
1,165.51,1.0,44.0,458
1,127.01,4.0,15.0,339
1,110.71,4.0,4.0,80
1,104.84,5.0,6.0,126
1,539.0,3.0,16.0,253
1,46.13,4.0,21.0,198
1,64.1,2.0,25.0,256
1,139.2,5.0,1.0,86
1,49.58,4.0,6.0,250
1,146.57,5.0,6.0,461
1,71.82,1.0,17.0,327
1,65.35,5.0,4.0,101
2,254.35,5.0,12.0,409
1,112.25,1.0,9.0,186
1,22.75,1.0,17.0,279
1,63.66,4.0,6.0,193
1,55.07,3.0,20.0,326
1,130.74,4.0,9.0,431
1,96.77,4.0,13.0,71
1,117.49,3.0,5.0,70
1,520.68,3.0,9.0,219
1,61.38,4.0,5.0,369
1,315.81,4.0,7.0,302
1,42.34,5.0,25.0,562
1,82.56,5.0,9.0,60
1,84.36,1.0,7.0,171
1,67.56,4.0,11.0,292
1,187.49,4.0,5.0,267
1,31.75,5.0,10.0,473
1,49.24,3.0,2.0,443
1,245.77,1.0,12.0,539
1,298.11,1.0,26.0,320
1,1056.75,4.0,4.0,55
1,115.07,5.0,7.0,168
1,158.98,1.0,9.0,92
1,165.9,5.0,2.0,149
1,90.99,5.0,7.0,178
2,2475.73,4.2,25.0,267
1,69.54,4.0,12.0,616
1,132.48,1.0,60.0,243
1,176.15,5.0,10.0,501
1,53.7,5.0,6.0,222
1,510.04,3.0,17.0,548
1,26.84,4.0,16.0,319
1,56.6,1.0,20.0,285
1,285.68,4.0,15.0,196
1,44.34,3.0,7.0,228
1,162.89,4.0,7.0,159
1,56.29,5.0,9.0,182
1,94.31,4.0,17.0,311
1,49.68,3.0,13.0,252
1,339.45,5.0,11.0,536
1,140.63,4.0,18.0,199
1,69.9,4.0,14.0,232
1,52.78,5.0,2.0,313
1,69.54,5.0,13.0,91
1,46.01,5.0,7.0,327
1,116.94,3.0,35.0,311
1,116.63,5.0,3.0,175
1,224.39,5.0,9.0,253
1,237.47,5.0,9.0,347
1,203.53,5.0,6.0,100
1,136.95,5.0,9.0,92
1,54.06,3.0,7.0,590
1,138.39,3.0,5.0,218
1,40.05,4.0,20.0,237
1,124.37,5.0,11.0,72
1,107.78,4.0,17.0,324
1,17.22,4.0,1.0,427
1,296.61,3.0,19.0,504
1,690.38,1.0,11.0,335
1,60.31,5.0,4.0,86
1,50.5,3.0,5.0,477
1,60.93,4.0,2.0,343
1,130.56,4.0,5.0,330
1,82.33,5.0,5.0,151
1,85.15,5.0,7.0,324
1,224.34,5.0,8.0,124
1,218.04,3.0,13.0,339
1,43.1,1.0,53.0,326
1,127.09,5.0,6.0,105
1,155.84,5.0,7.0,184
1,106.06,5.0,8.0,491
1,111.61,1.0,25.0,258
1,70.72,5.0,4.0,398
1,146.12,5.0,12.0,91
1,170.36,5.0,9.0,321
1,139.09,4.0,2.0,279
1,105.63,4.0,21.0,204
1,79.51,1.0,10.0,110
1,231.88,5.0,11.0,94
1,30.78,5.0,9.0,152
1,403.8,1.0,13.0,247
1,117.94,5.0,8.0,392
1,315.88,3.0,16.0,618
